"","PEMEX","CHEVRON","MOBIL","REPSOL","TOTAL","BP","G500"
"2018-01-02",10.7,99.6199569702148,1629.52612304688,10.6165504455566,38.9721603393555,30.7894077301025,3892.61010742188
"2018-01-03",10.97,100.346145629883,1649.12231445312,10.8538112640381,39.3697662353516,31.1453971862793,3911.98999023438
"2018-01-04",11,100.033798217773,1649.12231445312,11.1406488418579,40.0463981628418,31.2688961029053,3930.36010742188
"2018-01-05",11.08,99.8698196411133,1639.44274902344,11.1654376983643,40.2975082397461,31.3124885559082,3930.36010742188
"2018-01-08",11.22,100.361747741699,1646.16540527344,11.1725206375122,40.3044891357422,31.2979621887207,3991.830078125
"2018-01-09",11.14,99.8229751586914,1656.02233886719,11.1866846084595,40.2486839294434,31.1453971862793,3949.330078125
"2018-01-10",11.05,100.463264465332,1630.39343261719,11.1406488418579,40.1370811462402,31.1671867370605,3979.6201171875
"2018-01-11",11.38,103.516357421875,1650.10815429688,11.232720375061,40.3742485046387,31.4360008239746,3958.61010742188
"2018-01-12",11.47,104.32063293457,1642.63623046875,11.2752161026001,41.3856887817383,31.9009590148926,3999.0400390625
"2018-01-16",11.7,103.079071044922,1642.63623046875,11.2893781661987,40.8625335693359,30.8475170135498,3962.39990234375
"2018-01-17",12.12,103.35237121582,1606.73608398438,11.1831426620483,40.9183349609375,31.1526584625244,4015.10009765625
"2018-01-18",12.13,102.75114440918,1614.42492675781,11.0946140289307,40.5346832275391,31.1671867370605,4052.25
"2018-01-19",12.16,102.524673461914,1608.51062011719,11.1548137664795,40.4230728149414,30.8039417266846,4029.25
"2018-01-22",12.25,103.50855255127,1595.89318847656,11.0344133377075,41.0578460693359,31.5231704711914,4044.5
"2018-01-23",12.05,102.306037902832,1595.89318847656,11.239803314209,40.7858047485352,31.414192199707,4064
"2018-01-24",13.09,102.594955444336,1632.16821289062,11.2043905258179,41.232234954834,31.9227561950684,4110
"2018-01-25",13.26,102.017135620117,1612.65051269531,11.2043905258179,41.2252616882324,31.7774600982666,4094.5
"2018-01-26",13.83,102.43879699707,1612.65051269531,11.1335668563843,41.1903762817383,31.8283061981201,4109.75
"2018-01-29",13.63,100.322715759277,1616.59362792969,10.9883766174316,40.674201965332,31.4941177368164,4048.75
"2018-01-30",13.3,97.7849731445312,1631.92150878906,10.9423408508301,40.2277603149414,31.1018085479736,4049.25
"2018-01-31",13.36,97.8786849975586,1631.92150878906,10.7157049179077,40.4998016357422,31.0872688293457,4063.75
"2018-02-01",13.95,98.0504837036133,1603.77917480469,10.7334089279175,41.3089599609375,31.5013790130615,4075.75
